id,name,reference,status,price,category_id,available_quantity,iva_percentage,iva,total_sold_quantity,total_revenue
386,COMEDOR TRAVEL TALLA S,,active,30875.0,5063,1.0,19.0,5866.25,0.0,0.0
2659,COMEDOR ZEN G AMARILLO,,active,64077.0,5063,1.0,0.0,0.0,1.0,64000.0
398,COMEDOR ZENG BLANCO,,active,53846.0,5063,0.0,19.0,10230.74,2.0,107692.0
400,COMEDOR ZENG P,,active,28975.0,5063,1.0,19.0,5505.25,4.0,115900.0
1483,COMFORT KAT 4KG,,inactive,13697.0,5063,0.0,19.0,2602.43,0.0,0.0
2367,CORBATIN L - MEOW DESIGN,,active,28487.394958,5063,9.0,19.0,5412.61,12.0,340214.705882
536,CORBATIN LENTEJUELAS,,inactive,12615.0,5063,0.0,19.0,2396.85,0.0,0.0
535,CORBATIN LISO,,active,10153.0,5063,0.0,19.0,1929.07,0.0,0.0
2366,CORBATIN M - MEOW DESIGN,,active,26974.789916,5063,5.0,19.0,5125.21,27.0,707438.025211
2365,CORBATIN S - MEOW DESIGN,,active,23277.310924,5063,5.0,19.0,4422.69,20.0,461337.815127
612,CORBATIN SRTA EVA,,active,12614.0,5063,0.0,19.0,2396.66,0.0,0.0
473,CORBATIN XS - MEOW DESIGN,,active,21875.0,5063,0.0,19.0,4156.25,0.0,0.0
